ProbeID,M,R1,R2,R3,R4,R5,Common Name
1438620_x_at,0.11,0.39,0.12,0.32,0.04,0.02,Sfrp1
1428853_at,0.26,0.08,0.13,0.29,0.08,0.03,A230106A15Rik
1417932_at,0.01,0.07,0.22,0.41,0.21,0.11,Il18
1435383_x_at,0,0.16,0.18,0.82,0.33,0.72,Ndn
1429360_at,0,0.08,0.99,0.56,0.79,0.45,Klf3
1449483_at,0.55,0.98,0.27,0.04,0.07,0.88,Polk
1416592_at,0,0.13,0.75,0.07,0.3,0.8,Glrx1
1460411_s_at,0.04,0.7,0.14,0.23,0.11,0.03,AI115348
1427640_a_at,0,0.41,0.52,0.18,0.78,0.48,Cbfa2t1h
1434403_at,0,0.03,0.24,0.25,0.3,0.55,Spred2
1451991_at,0.04,0.03,0.12,0.09,0.39,0.01,Epha7
1416594_at,0.03,0.79,0.71,0.3,0.07,0.01,Sfrp1
1426528_at,0.99,0,0.01,0.3,0.63,0.11,Nrp2
1449106_at,0.09,0.86,0.54,0.33,0,0.01,Gpx3
1425158_at,0.3,0.35,0.42,0.65,0.03,0.55,Tbx20
1454613_at,0,0.01,0.58,0.62,0.36,0.06,Ly6a
1448201_at,0.03,0.11,0.34,0.73,0.16,0.16,Sfrp2
1426929_at,0.02,0.3,0.5,0.82,0.37,0.6,Brunol4
1449559_at,0.04,0.06,0.1,0.43,0.1,0.27,Msx2
1452215_at,0.02,0.65,0.41,0.96,0.48,0.82,9130401M01Rik
1454822_x_at,0,0.82,0.1,0.03,0.35,0.25,EIG180
1436030_at,0,0.17,0.88,0.68,0.74,0.3,NA
1455493_at,0.83,0.88,0.88,0.61,0.09,0.47,NA
1415964_at,0.01,0.04,0.24,0.23,0.14,0.08,Scd1
1418666_at,0.04,0.01,0,0.07,0.41,0.05,Ptx3
1421841_at,0.03,0.03,0.03,0,0.01,0.03,Fgfr3
1419186_a_at,0.03,0.02,0.23,1.21E-004,0.03,9.62E-004,Siat8d; PST; PST-1; ST8SiaIV
1426298_at,0.25,0,0.08,0.01,0.24,0.33,Irx2
