"ids","r2","r3","r4","r5","name"
"1418382_at",1.39,1.46,0.76,0.91,"EIG180"
"1421889_a_at",0.89,0.93,1.03,2.37,"Aplp2"
"1450002_at",1.42,1.35,0.81,0.28,"Gsh1"
"1415936_at",1.55,0.88,1.09,0.83,"Bcar3"
"1421271_at",0.89,1.12,0.74,1.54,"2200003J05Rik"
"1418271_at",0.91,0.94,1.8,0.81,"Bhlhb5"
"1454613_at",1.1,1.13,1.25,0.57,"Ly6a"
"1416301_a_at",2.25,1.02,1.09,0.4,"Ebf1"
"1426367_at",1.02,1.37,0.82,1.04,"1500031K13Rik"
"1450723_at",1.75,0.9,1.01,0.66,"Isl1"
"1416123_at",1.04,0.96,0.59,1.92,"Ccnd2"
"1417473_a_at",1.07,1.02,0.35,1.5,"6330579B17Rik"
"1451983_at",1.45,0.9,0.81,1.05,"Irx1"
"1451716_at",1.28,0.93,0.53,1.08,"Mafb"
"1419978_s_at",1.32,1.11,0.94,0.93,"D10Ertd610e"
"1417355_at",0.86,1.04,1,1.66,"Peg3"
"1422444_at",0.74,1.12,0.97,1.55,"Itga6"
"1422390_at",1.28,0.38,1.15,0.72,"V1rc5"
"1424342_at",0.82,1.26,0.74,1.49,"3830421F13Rik"
"1427528_a_at",0.87,1.36,0.82,1.55,"Epha7"
"1449089_at",0.86,0.99,0.86,1.4,"Nrip1"
"1423340_at",0.92,1.13,0.95,0.28,"Tcfap2b"
"1425452_s_at",0.65,1.08,0.81,3.44,"Nse1-pending; AW125753; 2310003N02Rik; 4731402F03Rik"
"1434976_x_at",0.94,1.12,0.82,1.35,"Eif4ebp1"
"1425516_at",0.83,1.1,0.76,1.31,"Ogt"
"1418895_at",0.96,1.05,0.98,1.44,"Scap2"
"1433906_at",0.86,1.05,1.36,0.56,"4933402J24Rik"
"1448991_a_at",1.13,1.01,1.24,0.48,"MGC25352"
"1421028_a_at",0.48,0.94,1.26,1.06,"Mef2c"
"1418423_s_at",1.18,0.74,1.81,0.81,"Spi13"
"1416617_at",1.36,1.44,0.81,0.63,"Acas2l"
"1417754_at",1,0.98,0.78,1.37,"AW105885"
"1426298_at",1.3,1.62,0.78,0.9,"Irx2"
"1416178_a_at",0.8,1.07,0.96,1.52,"Plekhb1"
"1455098_a_at",1.3,0.96,1.01,0.73,"Vtn"
"1456349_x_at",0.85,1.71,0.75,1.43,"Ubl1"
"1419028_at",1.13,0.27,1.09,0.89,"Ppp1r1c"
"1416622_at",0.94,1.02,0.96,1.38,"Wbscr16"
"1425483_at",0.8,1.24,0.89,1.84,"Tox"
"1448229_s_at",0.92,1.13,0.84,1.53,"Ccnd2"
"1426766_at",0.75,1.07,0.79,1.4,"6330403K07Rik"
"1448321_at",1.21,1.57,0.87,0.66,"Smoc1"
"1432344_a_at",0.84,1.02,0.77,2.7,"Aplp2"
"1422277_at",1.11,0.99,1.7,0.94,"Glra1"
"1423499_at",1.35,0.91,1.01,0.74,"Sncaip"
"1449559_at",1.16,1.06,0.55,1.1,"Msx2"
"1418599_at",1.01,1.03,0.86,1.68,"Col11a1"
"1423140_at",1.51,0.8,1.35,0.59,"Lip1"
